forecast_time_local,time_since_apogee_s,descent_speed_ms
08:00 Local,0.00,100.08
08:00 Local,1.91,100.08
08:00 Local,3.82,100.08
08:00 Local,5.73,100.08
08:00 Local,7.64,100.08
08:00 Local,9.55,100.08
08:00 Local,11.46,100.08
08:00 Local,13.37,100.08
08:00 Local,15.27,100.08
08:00 Local,17.18,100.08
08:00 Local,19.09,100.08
08:00 Local,21.00,100.08
08:00 Local,22.91,100.08
08:00 Local,24.82,100.08
08:00 Local,26.73,100.08
08:00 Local,28.64,100.08
08:00 Local,30.55,100.08
08:00 Local,32.46,100.08
08:00 Local,34.37,100.08
08:00 Local,36.28,100.08
08:00 Local,38.19,100.08
08:00 Local,40.10,100.08
08:00 Local,42.00,100.08
08:00 Local,43.91,100.08
08:00 Local,45.82,100.08
08:00 Local,47.73,100.08
08:00 Local,49.64,100.08
08:00 Local,51.55,100.08
08:00 Local,53.46,100.08
08:00 Local,55.37,100.08
08:00 Local,57.28,100.08
08:00 Local,59.19,100.08
08:00 Local,61.10,100.08
08:00 Local,63.01,100.08
08:00 Local,64.92,100.08
08:00 Local,66.83,99.77
08:00 Local,68.74,98.69
08:00 Local,70.68,97.21
08:00 Local,72.64,95.79
08:00 Local,74.64,94.44
08:00 Local,76.66,93.15
08:00 Local,78.71,91.91
08:00 Local,80.79,90.72
08:00 Local,82.90,89.57
08:00 Local,85.03,88.46
08:00 Local,87.19,87.39
08:00 Local,89.38,86.38
08:00 Local,91.59,85.41
08:00 Local,93.83,84.48
08:00 Local,96.09,83.57
08:00 Local,98.37,82.67
08:00 Local,100.69,81.80
08:00 Local,103.02,80.97
08:00 Local,105.38,80.18
08:00 Local,107.77,79.40
08:00 Local,110.17,78.59
08:00 Local,112.60,77.76
08:00 Local,115.06,76.96
08:00 Local,117.54,76.19
08:00 Local,120.05,75.45
08:00 Local,122.58,74.68
08:00 Local,125.14,73.90
08:00 Local,127.73,73.16
08:00 Local,130.34,72.44
08:00 Local,132.98,71.73
08:00 Local,135.64,71.02
08:00 Local,138.33,70.32
08:00 Local,141.05,69.65
08:00 Local,143.79,68.99
08:00 Local,146.56,68.34
08:00 Local,149.36,67.69
08:00 Local,152.18,67.05
08:00 Local,155.03,66.42
08:00 Local,157.91,65.79
08:00 Local,160.81,65.16
08:00 Local,163.75,64.54
08:00 Local,166.71,63.93
08:00 Local,169.69,63.32
08:00 Local,172.71,62.72
08:00 Local,175.76,62.12
08:00 Local,178.84,61.53
08:00 Local,181.94,60.95
08:00 Local,185.08,60.37
08:00 Local,188.24,59.78
08:00 Local,191.44,59.20
08:00 Local,194.66,58.60
08:00 Local,197.93,57.98
08:00 Local,201.22,57.35
08:00 Local,204.55,56.69
08:00 Local,207.92,56.04
08:00 Local,211.33,55.43
08:00 Local,214.78,9.06
08:00 Local,235.87,8.97
08:00 Local,257.17,8.87
08:00 Local,278.71,8.77
08:00 Local,300.49,8.69
08:00 Local,322.49,8.60
08:00 Local,344.70,8.53
08:00 Local,367.09,8.50
08:00 Local,389.57,8.50
09:00 Local,0.00,100.14
09:00 Local,1.91,100.14
09:00 Local,3.82,100.14
09:00 Local,5.72,100.14
09:00 Local,7.63,100.14
09:00 Local,9.54,100.14
09:00 Local,11.45,100.14
09:00 Local,13.36,100.14
09:00 Local,15.27,100.14
09:00 Local,17.17,100.14
09:00 Local,19.08,100.14
09:00 Local,20.99,100.14
09:00 Local,22.90,100.14
09:00 Local,24.81,100.14
09:00 Local,26.71,100.14
09:00 Local,28.62,100.14
09:00 Local,30.53,100.14
09:00 Local,32.44,100.14
09:00 Local,34.35,100.14
09:00 Local,36.26,100.14
09:00 Local,38.16,100.14
09:00 Local,40.07,100.14
09:00 Local,41.98,100.14
09:00 Local,43.89,100.14
09:00 Local,45.80,100.14
09:00 Local,47.70,100.14
09:00 Local,49.61,100.14
09:00 Local,51.52,100.14
09:00 Local,53.43,100.14
09:00 Local,55.34,100.14
09:00 Local,57.25,100.14
09:00 Local,59.15,100.14
09:00 Local,61.06,100.14
09:00 Local,62.97,100.14
09:00 Local,64.88,100.14
09:00 Local,66.79,99.81
09:00 Local,68.70,98.71
09:00 Local,70.64,97.23
09:00 Local,72.60,95.81
09:00 Local,74.60,94.46
09:00 Local,76.62,93.16
09:00 Local,78.67,91.93
09:00 Local,80.75,90.74
09:00 Local,82.86,89.58
09:00 Local,84.99,88.47
09:00 Local,87.15,87.40
09:00 Local,89.33,86.38
09:00 Local,91.55,85.41
09:00 Local,93.78,84.49
09:00 Local,96.05,83.57
09:00 Local,98.33,82.67
09:00 Local,100.64,81.79
09:00 Local,102.98,80.95
09:00 Local,105.34,80.15
09:00 Local,107.72,79.37
09:00 Local,110.13,78.56
09:00 Local,112.56,77.74
09:00 Local,115.02,76.94
09:00 Local,117.51,76.18
09:00 Local,120.01,75.45
09:00 Local,122.55,74.69
09:00 Local,125.10,73.91
09:00 Local,127.69,73.16
09:00 Local,130.30,72.44
09:00 Local,132.94,71.73
09:00 Local,135.60,71.01
09:00 Local,138.29,70.31
09:00 Local,141.01,69.63
09:00 Local,143.76,68.97
09:00 Local,146.53,68.32
09:00 Local,149.32,67.67
09:00 Local,152.15,67.03
09:00 Local,155.00,66.40
09:00 Local,157.88,65.78
09:00 Local,160.78,65.15
09:00 Local,163.71,64.53
09:00 Local,166.67,63.92
09:00 Local,169.66,63.31
09:00 Local,172.68,62.71
09:00 Local,175.73,62.12
09:00 Local,178.81,61.53
09:00 Local,181.91,60.96
09:00 Local,185.05,60.38
09:00 Local,188.21,59.80
09:00 Local,191.41,59.22
09:00 Local,194.63,58.62
09:00 Local,197.89,58.00
09:00 Local,201.19,57.36
09:00 Local,204.52,56.69
09:00 Local,207.89,56.04
09:00 Local,211.30,55.42
09:00 Local,214.75,9.06
09:00 Local,235.83,8.97
09:00 Local,257.14,8.87
09:00 Local,278.68,8.77
09:00 Local,300.46,8.68
09:00 Local,322.47,8.60
09:00 Local,344.68,8.53
09:00 Local,367.08,8.50
09:00 Local,389.56,8.50
10:00 Local,0.00,100.17
10:00 Local,1.91,100.17
10:00 Local,3.82,100.17
10:00 Local,5.72,100.17
10:00 Local,7.63,100.17
10:00 Local,9.54,100.17
10:00 Local,11.45,100.17
10:00 Local,13.35,100.17
10:00 Local,15.26,100.17
10:00 Local,17.17,100.17
10:00 Local,19.08,100.17
10:00 Local,20.98,100.17
10:00 Local,22.89,100.17
10:00 Local,24.80,100.17
10:00 Local,26.71,100.17
10:00 Local,28.61,100.17
10:00 Local,30.52,100.17
10:00 Local,32.43,100.17
10:00 Local,34.34,100.17
10:00 Local,36.25,100.17
10:00 Local,38.15,100.17
10:00 Local,40.06,100.17
10:00 Local,41.97,100.17
10:00 Local,43.88,100.17
10:00 Local,45.78,100.17
10:00 Local,47.69,100.17
10:00 Local,49.60,100.17
10:00 Local,51.51,100.17
10:00 Local,53.41,100.17
10:00 Local,55.32,100.17
10:00 Local,57.23,100.17
10:00 Local,59.14,100.17
10:00 Local,61.04,100.17
10:00 Local,62.95,100.17
10:00 Local,64.86,100.17
10:00 Local,66.77,99.82
10:00 Local,68.68,98.70
10:00 Local,70.62,97.21
10:00 Local,72.58,95.80
10:00 Local,74.58,94.45
10:00 Local,76.60,93.15
10:00 Local,78.65,91.92
10:00 Local,80.73,90.73
10:00 Local,82.84,89.57
10:00 Local,84.97,88.45
10:00 Local,87.13,87.38
10:00 Local,89.32,86.36
10:00 Local,91.53,85.39
10:00 Local,93.77,84.46
10:00 Local,96.03,83.55
10:00 Local,98.32,82.64
10:00 Local,100.63,81.77
10:00 Local,102.97,80.93
10:00 Local,105.33,80.14
10:00 Local,107.71,79.36
10:00 Local,110.12,78.55
10:00 Local,112.55,77.73
10:00 Local,115.01,76.93
10:00 Local,117.49,76.17
10:00 Local,120.00,75.43
10:00 Local,122.54,74.67
10:00 Local,125.09,73.88
10:00 Local,127.68,73.13
10:00 Local,130.29,72.41
10:00 Local,132.93,71.70
10:00 Local,135.60,70.98
10:00 Local,138.29,70.28
10:00 Local,141.01,69.60
10:00 Local,143.75,68.95
10:00 Local,146.53,68.29
10:00 Local,149.32,67.64
10:00 Local,152.15,67.00
10:00 Local,155.00,66.37
10:00 Local,157.88,65.75
10:00 Local,160.79,65.13
10:00 Local,163.72,64.51
10:00 Local,166.68,63.90
10:00 Local,169.67,63.30
10:00 Local,172.69,62.70
10:00 Local,175.74,62.11
10:00 Local,178.81,61.52
10:00 Local,181.92,60.94
10:00 Local,185.06,60.36
10:00 Local,188.22,59.78
10:00 Local,191.42,59.19
10:00 Local,194.65,58.59
10:00 Local,197.91,57.95
10:00 Local,201.20,57.30
10:00 Local,204.54,56.62
10:00 Local,207.91,55.98
10:00 Local,211.33,55.38
10:00 Local,214.78,9.06
10:00 Local,235.87,8.97
10:00 Local,257.18,8.87
10:00 Local,278.72,8.77
10:00 Local,300.50,8.69
10:00 Local,322.50,8.61
10:00 Local,344.71,8.54
10:00 Local,367.09,8.50
10:00 Local,389.57,8.50
11:00 Local,0.00,100.21
11:00 Local,1.91,100.21
11:00 Local,3.81,100.21
11:00 Local,5.72,100.21
11:00 Local,7.63,100.21
11:00 Local,9.53,100.21
11:00 Local,11.44,100.21
11:00 Local,13.35,100.21
11:00 Local,15.25,100.21
11:00 Local,17.16,100.21
11:00 Local,19.07,100.21
11:00 Local,20.98,100.21
11:00 Local,22.88,100.21
11:00 Local,24.79,100.21
11:00 Local,26.70,100.21
11:00 Local,28.60,100.21
11:00 Local,30.51,100.21
11:00 Local,32.42,100.21
11:00 Local,34.32,100.21
11:00 Local,36.23,100.21
11:00 Local,38.14,100.21
11:00 Local,40.04,100.21
11:00 Local,41.95,100.21
11:00 Local,43.86,100.21
11:00 Local,45.76,100.21
11:00 Local,47.67,100.21
11:00 Local,49.58,100.21
11:00 Local,51.49,100.21
11:00 Local,53.39,100.21
11:00 Local,55.30,100.21
11:00 Local,57.21,100.21
11:00 Local,59.11,100.21
11:00 Local,61.02,100.21
11:00 Local,62.93,100.21
11:00 Local,64.83,100.21
11:00 Local,66.74,99.86
11:00 Local,68.65,98.75
11:00 Local,70.59,97.26
11:00 Local,72.55,95.85
11:00 Local,74.55,94.49
11:00 Local,76.57,93.20
11:00 Local,78.62,91.96
11:00 Local,80.70,90.77
11:00 Local,82.80,89.62
11:00 Local,84.93,88.51
11:00 Local,87.09,87.45
11:00 Local,89.28,86.44
11:00 Local,91.49,85.47
11:00 Local,93.72,84.54
11:00 Local,95.98,83.63
11:00 Local,98.27,82.71
11:00 Local,100.58,81.82
11:00 Local,102.92,80.96
11:00 Local,105.28,80.15
11:00 Local,107.66,79.36
11:00 Local,110.07,78.54
11:00 Local,112.50,77.71
11:00 Local,114.96,76.91
11:00 Local,117.44,76.15
11:00 Local,119.95,75.41
11:00 Local,122.49,74.65
11:00 Local,125.05,73.88
11:00 Local,127.63,73.14
11:00 Local,130.25,72.43
11:00 Local,132.88,71.72
11:00 Local,135.55,71.00
11:00 Local,138.24,70.28
11:00 Local,140.96,69.60
11:00 Local,143.70,68.93
11:00 Local,146.48,68.26
11:00 Local,149.28,67.60
11:00 Local,152.10,66.97
11:00 Local,154.95,66.34
11:00 Local,157.84,65.71
11:00 Local,160.74,65.09
11:00 Local,163.68,64.49
11:00 Local,166.64,63.88
11:00 Local,169.63,63.28
11:00 Local,172.65,62.69
11:00 Local,175.70,62.10
11:00 Local,178.78,61.51
11:00 Local,181.88,60.93
11:00 Local,185.02,60.35
11:00 Local,188.19,59.77
11:00 Local,191.38,59.18
11:00 Local,194.61,58.58
11:00 Local,197.87,57.98
11:00 Local,201.17,57.35
11:00 Local,204.50,56.69
11:00 Local,207.87,56.03
11:00 Local,211.28,55.42
11:00 Local,214.73,9.06
11:00 Local,235.81,8.97
11:00 Local,257.11,8.88
11:00 Local,278.62,8.79
11:00 Local,300.36,8.70
11:00 Local,322.32,8.62
11:00 Local,344.50,8.55
11:00 Local,366.85,8.51
11:00 Local,389.30,8.51
12:00 Local,0.00,100.15
12:00 Local,1.91,100.15
12:00 Local,3.82,100.15
12:00 Local,5.72,100.15
12:00 Local,7.63,100.15
12:00 Local,9.54,100.15
12:00 Local,11.45,100.15
12:00 Local,13.36,100.15
12:00 Local,15.26,100.15
12:00 Local,17.17,100.15
12:00 Local,19.08,100.15
12:00 Local,20.99,100.15
12:00 Local,22.90,100.15
12:00 Local,24.80,100.15
12:00 Local,26.71,100.15
12:00 Local,28.62,100.15
12:00 Local,30.53,100.15
12:00 Local,32.43,100.15
12:00 Local,34.34,100.15
12:00 Local,36.25,100.15
12:00 Local,38.16,100.15
12:00 Local,40.07,100.15
12:00 Local,41.97,100.15
12:00 Local,43.88,100.15
12:00 Local,45.79,100.15
12:00 Local,47.70,100.15
12:00 Local,49.61,100.15
12:00 Local,51.51,100.15
12:00 Local,53.42,100.15
12:00 Local,55.33,100.15
12:00 Local,57.24,100.15
12:00 Local,59.15,100.15
12:00 Local,61.05,100.15
12:00 Local,62.96,100.15
12:00 Local,64.87,100.15
12:00 Local,66.78,99.85
12:00 Local,68.69,98.79
12:00 Local,70.63,97.31
12:00 Local,72.59,95.91
12:00 Local,74.58,94.56
12:00 Local,76.60,93.28
12:00 Local,78.65,92.05
12:00 Local,80.73,90.87
12:00 Local,82.83,89.72
12:00 Local,84.96,88.60
12:00 Local,87.12,87.53
12:00 Local,89.30,86.51
12:00 Local,91.51,85.53
12:00 Local,93.74,84.60
12:00 Local,96.00,83.68
12:00 Local,98.28,82.76
12:00 Local,100.59,81.87
12:00 Local,102.93,81.01
12:00 Local,105.28,80.20
12:00 Local,107.67,79.41
12:00 Local,110.07,78.60
12:00 Local,112.50,77.78
12:00 Local,114.96,76.98
12:00 Local,117.44,76.22
12:00 Local,119.95,75.49
12:00 Local,122.48,74.73
12:00 Local,125.04,73.95
12:00 Local,127.62,73.20
12:00 Local,130.23,72.48
12:00 Local,132.87,71.77
12:00 Local,135.53,71.04
12:00 Local,138.22,70.32
12:00 Local,140.94,69.63
12:00 Local,143.68,68.96
12:00 Local,146.45,68.29
12:00 Local,149.25,67.63
12:00 Local,152.08,66.98
12:00 Local,154.93,66.34
12:00 Local,157.81,65.72
12:00 Local,160.72,65.10
12:00 Local,163.65,64.49
12:00 Local,166.62,63.89
12:00 Local,169.61,63.29
12:00 Local,172.63,62.70
12:00 Local,175.67,62.12
12:00 Local,178.75,61.54
12:00 Local,181.86,60.96
12:00 Local,184.99,60.38
12:00 Local,188.15,59.80
12:00 Local,191.35,59.22
12:00 Local,194.58,58.62
12:00 Local,197.84,58.00
12:00 Local,201.13,57.38
12:00 Local,204.46,56.73
12:00 Local,207.83,56.08
12:00 Local,211.24,55.47
12:00 Local,214.68,9.07
12:00 Local,235.74,8.98
12:00 Local,257.02,8.89
12:00 Local,278.50,8.81
12:00 Local,300.20,8.72
12:00 Local,322.11,8.64
12:00 Local,344.23,8.57
12:00 Local,366.53,8.53
12:00 Local,388.94,8.53
13:00 Local,0.00,100.24
13:00 Local,1.91,100.24
13:00 Local,3.81,100.24
13:00 Local,5.72,100.24
13:00 Local,7.63,100.24
13:00 Local,9.53,100.24
13:00 Local,11.44,100.24
13:00 Local,13.34,100.24
13:00 Local,15.25,100.24
13:00 Local,17.16,100.24
13:00 Local,19.06,100.24
13:00 Local,20.97,100.24
13:00 Local,22.88,100.24
13:00 Local,24.78,100.24
13:00 Local,26.69,100.24
13:00 Local,28.59,100.24
13:00 Local,30.50,100.24
13:00 Local,32.41,100.24
13:00 Local,34.31,100.24
13:00 Local,36.22,100.24
13:00 Local,38.13,100.24
13:00 Local,40.03,100.24
13:00 Local,41.94,100.24
13:00 Local,43.84,100.24
13:00 Local,45.75,100.24
13:00 Local,47.66,100.24
13:00 Local,49.56,100.24
13:00 Local,51.47,100.24
13:00 Local,53.38,100.24
13:00 Local,55.28,100.24
13:00 Local,57.19,100.24
13:00 Local,59.10,100.24
13:00 Local,61.00,100.24
13:00 Local,62.91,100.24
13:00 Local,64.81,100.24
13:00 Local,66.72,99.96
13:00 Local,68.63,98.91
13:00 Local,70.56,97.42
13:00 Local,72.53,96.01
13:00 Local,74.52,94.66
13:00 Local,76.53,93.36
13:00 Local,78.58,92.13
13:00 Local,80.66,90.94
13:00 Local,82.76,89.79
13:00 Local,84.88,88.67
13:00 Local,87.04,87.59
13:00 Local,89.22,86.57
13:00 Local,91.43,85.60
13:00 Local,93.66,84.66
13:00 Local,95.92,83.74
13:00 Local,98.20,82.82
13:00 Local,100.51,81.92
13:00 Local,102.84,81.06
13:00 Local,105.20,80.23
13:00 Local,107.58,79.44
13:00 Local,109.98,78.62
13:00 Local,112.41,77.80
13:00 Local,114.87,77.00
13:00 Local,117.35,76.24
13:00 Local,119.86,75.50
13:00 Local,122.39,74.75
13:00 Local,124.95,73.97
13:00 Local,127.53,73.23
13:00 Local,130.14,72.51
13:00 Local,132.77,71.80
13:00 Local,135.43,71.08
13:00 Local,138.12,70.36
13:00 Local,140.84,69.67
13:00 Local,143.58,69.00
13:00 Local,146.35,68.32
13:00 Local,149.15,67.65
13:00 Local,151.97,66.99
13:00 Local,154.82,66.35
13:00 Local,157.70,65.71
13:00 Local,160.61,65.09
13:00 Local,163.55,64.48
13:00 Local,166.51,63.88
13:00 Local,169.50,63.28
13:00 Local,172.52,62.70
13:00 Local,175.57,62.11
13:00 Local,178.65,61.53
13:00 Local,181.75,60.96
13:00 Local,184.89,60.38
13:00 Local,188.05,59.81
13:00 Local,191.24,59.23
13:00 Local,194.47,58.64
13:00 Local,197.73,58.03
13:00 Local,201.02,57.41
13:00 Local,204.35,56.77
13:00 Local,207.72,56.13
13:00 Local,211.12,55.51
13:00 Local,214.56,9.08
13:00 Local,235.61,8.99
13:00 Local,256.86,8.91
13:00 Local,278.32,8.82
13:00 Local,299.98,8.74
13:00 Local,321.84,8.66
13:00 Local,343.90,8.59
13:00 Local,366.15,8.55
13:00 Local,388.50,8.55
14:00 Local,0.00,100.24
14:00 Local,1.91,100.24
14:00 Local,3.81,100.24
14:00 Local,5.72,100.24
14:00 Local,7.63,100.24
14:00 Local,9.53,100.24
14:00 Local,11.44,100.24
14:00 Local,13.34,100.24
14:00 Local,15.25,100.24
14:00 Local,17.16,100.24
14:00 Local,19.06,100.24
14:00 Local,20.97,100.24
14:00 Local,22.88,100.24
14:00 Local,24.78,100.24
14:00 Local,26.69,100.24
14:00 Local,28.59,100.24
14:00 Local,30.50,100.24
14:00 Local,32.41,100.24
14:00 Local,34.31,100.24
14:00 Local,36.22,100.24
14:00 Local,38.13,100.24
14:00 Local,40.03,100.24
14:00 Local,41.94,100.24
14:00 Local,43.84,100.24
14:00 Local,45.75,100.24
14:00 Local,47.66,100.24
14:00 Local,49.56,100.24
14:00 Local,51.47,100.24
14:00 Local,53.38,100.24
14:00 Local,55.28,100.24
14:00 Local,57.19,100.24
14:00 Local,59.09,100.24
14:00 Local,61.00,100.24
14:00 Local,62.91,100.24
14:00 Local,64.81,100.24
14:00 Local,66.72,99.95
14:00 Local,68.63,98.90
14:00 Local,70.56,97.42
14:00 Local,72.52,96.01
14:00 Local,74.51,94.67
14:00 Local,76.53,93.38
14:00 Local,78.58,92.15
14:00 Local,80.65,90.97
14:00 Local,82.75,89.82
14:00 Local,84.88,88.70
14:00 Local,87.04,87.62
14:00 Local,89.22,86.60
14:00 Local,91.42,85.62
14:00 Local,93.65,84.69
14:00 Local,95.91,83.77
14:00 Local,98.19,82.84
14:00 Local,100.50,81.94
14:00 Local,102.83,81.08
14:00 Local,105.19,80.26
14:00 Local,107.57,79.46
14:00 Local,109.97,78.65
14:00 Local,112.40,77.82
14:00 Local,114.86,77.02
14:00 Local,117.34,76.25
14:00 Local,119.84,75.52
14:00 Local,122.37,74.75
14:00 Local,124.93,73.97
14:00 Local,127.51,73.23
14:00 Local,130.12,72.51
14:00 Local,132.76,71.80
14:00 Local,135.42,71.07
14:00 Local,138.11,70.36
14:00 Local,140.82,69.67
14:00 Local,143.57,69.00
14:00 Local,146.34,68.32
14:00 Local,149.13,67.65
14:00 Local,151.96,66.99
14:00 Local,154.81,66.34
14:00 Local,157.69,65.69
14:00 Local,160.60,65.06
14:00 Local,163.54,64.44
14:00 Local,166.50,63.83
14:00 Local,169.49,63.23
14:00 Local,172.52,62.65
14:00 Local,175.57,62.07
14:00 Local,178.64,61.50
14:00 Local,181.75,60.94
14:00 Local,184.89,60.38
14:00 Local,188.05,59.81
14:00 Local,191.25,59.24
14:00 Local,194.47,58.66
14:00 Local,197.73,58.07
14:00 Local,201.02,57.45
14:00 Local,204.34,56.82
14:00 Local,207.71,56.18
14:00 Local,211.11,55.56
14:00 Local,214.55,9.09
14:00 Local,235.58,9.00
14:00 Local,256.81,8.92
14:00 Local,278.24,8.83
14:00 Local,299.87,8.75
14:00 Local,321.70,8.68
14:00 Local,343.72,8.60
14:00 Local,365.93,8.56
14:00 Local,388.25,8.56
